上海天龍樓,30.0,香港仔舊大街58-62號C舖,$51-100,滬菜 (上海),中菜館,(52 食評),855,
譚仔雲南米線,9.0,香港仔成都道38號利港中心2樓208號舖,$50以下,滇菜 (雲南),粉麵/米線,(20 食評),186,
八方雲集鍋貼水餃專門店 Bafang Dumpling,10.0,香港仔南寧街ac5地下2號舖,$50以下,台灣菜,雲吞/餃子,(15 食評),113,
天仁茗茶 TenRen's Tea,6.0,香港仔南寧街ac4地下2A舖,$50以下,台灣菜,台式飲品,(7 食評),99,
華記小廚 Wah Kee Restaurant,3.0,香港仔香港仔舊大街82號地舖,$51-100,粵菜 (廣東),川菜 (四川),(3 食評),77,
新昌發正宗潮州粉麵,7.0,香港仔東勝道15號地下,$50以下,潮州菜,粉麵/米線,(13 食評),92,
百味王火鍋酒家 Best Hotpot Restaurant,5.0,香港仔南寧街ac2地下1及28號舖,$101-200,粵菜 (廣東),火鍋,(11 食評),176,
百樂門宴會廳 Paramount Banquet Hall,21.0,香港仔南寧街ac5 1樓F舖,$101-200,粵菜 (廣東),點心,(44 食評),363,
香港仔魚市場二合海鮮餐廳 Aberdeen Fish Market Yee Hope Seafood Restaurant,8.0,香港仔香港仔石排灣道102號香港仔魚類批發市場,$101-200,粵菜 (廣東),海鮮,(15 食評),1009,
綠野仙踪 Greenland Corner,7.0,香港仔祟文街15-17號華利大廈LG1地庫,$51-100,台灣菜,台灣菜,(17 食評),171,
新光酒樓 Hsin Kwong Restaurant,11.0,香港仔南寧街ac3 2樓,$101-200,粵菜 (廣東),點心,(27 食評),133,
稻香 Tao Heung,1.0,香港仔成都道38號利港商場3樓302號舖,$101-200,粵菜 (廣東),火鍋,(8 食評),118,
九記,4.0,香港仔香港仔大道203號香港仔市政大廈2樓熟食中心7號舖,$50以下,粵菜 (廣東),粵菜 (廣東),(4 食評),122,
海東軒,1.0,香港仔香港仔大道152-156號宏興大廈地下C&E號舖及1樓全層,$101-200,粵菜 (廣東),中菜館,(2 食評),148,
