place,mag,time
Taiwan region,4.5,1342555129050
Taiwan,4.4,1339924177190
Taiwan,4.6,1339924073240
Taiwan,5,1339923712450
Taiwan,4.5,1339702257330
Taiwan,4.4,1339698359740
Taiwan,5.2,1339690513630
Taiwan,4.4,1339646879900
Taiwan,4.5,1339575741160
Taiwan,4.6,1339309409040
Taiwan,4.5,1339216879940
Taiwan region,4.6,1338968930880
Taiwan region,4.6,1338949440790
Taiwan region,4.5,1338948556900
Taiwan region,4.7,1338945044900
Taiwan region,5.5,1338944915520
Taiwan,4.4,1338362743260
Taiwan,4.4,1335538114590
Taiwan,5,1334800688600
Taiwan,4.2,1334227165510
Taiwan region,4.3,1334155583990
Taiwan,4.5,1333828757150
Taiwan,4.4,1332601381650
Taiwan,4.6,1332373476000
Taiwan region,4.5,1330566100500
Taiwan,5.9,1330223700530
Taiwan,4.6,1328779009190
Taiwan region,4.5,1328459110530
Taiwan,4.1,1326083207200
Taiwan,4.8,1325660396950
Taiwan,4.3,1323909341900
Taiwan,4.4,1323861170750
Taiwan region,4.9,1322787323160
Taiwan,4.3,1321688582770
Taiwan region,4.2,1320074223480
Taiwan region,4.1,1318264412770
Taiwan region,4.2,1318175662900
Taiwan,4.2,1318073955800
Taiwan,4.6,1316653259000
Taiwan,4,1316652957700
Taiwan,4,1316644954000
Taiwan,4.8,1316643512020
Taiwan,4,1316296852350
Taiwan,4.2,1316029701060
Taiwan,4.3,1315549373900
Taiwan,4.2,1315549147800
Taiwan,4.1,1315547880900
Taiwan region,4.5,1315547537950
Taiwan region,4.5,1315538818710
Taiwan region,4.3,1314950418700
Taiwan,4.9,1314264910860
Taiwan,4.1,1314191715400
Taiwan,4.3,1313100452760
Taiwan region,4.2,1312517926990
Taiwan,4.7,1311084069330
Taiwan,4.5,1310928322820
Taiwan,5,1310469431020
Taiwan,4.8,1309953539240
Taiwan,4.6,1309696244030
Taiwan region,4.6,1309601046750
Taiwan,4.7,1309094354300
Taiwan,4.3,1309048281610
Taiwan region,4.4,1308531994300
Taiwan,4.5,1308478735070
Taiwan region,4.3,1308416048790
Taiwan,4.5,1307669121540
Taiwan region,5,1307034473950
Taiwan,4.4,1306261924520
Taiwan,4.5,1306098436000
Taiwan,5,1306028052320
Taiwan,4.2,1304757332900
Taiwan,4.4,1304717509280
Taiwan,4.7,1304437954320
Taiwan,5.1,1304152538840
Taiwan region,4.1,1301561398460
Taiwan region,4.6,1301561107890
Taiwan,4.4,1301458951500
Taiwan,4.7,1301123951780
Taiwan region,4.3,1300937057700
Taiwan,4,1300912049340
Taiwan region,5.4,1300608049140
Taiwan,4.4,1300281136410
Taiwan region,4.6,1300123313590
Taiwan,4,1299552413100
Taiwan,4.2,1297058101170
Taiwan,5.2,1296548192020
Taiwan,4.5,1296507194190
Taiwan region,4.5,1294804390300
Taiwan region,4.4,1291689974310
Taiwan,4.6,1291601651240
Taiwan,4.7,1290784424630
Taiwan,5.6,1290342705400
Taiwan,4.1,1290104051100
Taiwan,4,1289876434540
Taiwan,4.8,1289576340810
Taiwan,4.8,1289221281860
Taiwan region,4.5,1287733155400
Taiwan,4.8,1286047391920
Taiwan,4.1,1285876559990
Taiwan,4.7,1285695232070
Taiwan,4.4,1285679411950
Taiwan,4.6,1284952627700
Taiwan,4.5,1284244867200
Taiwan,4.4,1283539477640
Taiwan,5.1,1282416480990
Taiwan,4.3,1282415961610
Taiwan,4.7,1282408680270
Taiwan,4.3,1280587747230
Taiwan,4.6,1280563996340
Taiwan,5.2,1280029931670
Taiwan,4.8,1279357457200
Taiwan,4.9,1278097892480
Taiwan,4.4,1277575551180
Taiwan,4.5,1276823323000
Taiwan,5.3,1276561878000
Taiwan,4.4,1276535864330
Taiwan,4.2,1275651093720
Taiwan,4.3,1274610038070
Taiwan,4.4,1272823213800
Taiwan region,4.6,1272194050660
Taiwan,4.3,1271192154170
Taiwan,5,1271191747060
Taiwan,4.5,1271168967160
Taiwan,3.9,1270785199300
Taiwan,4.2,1270210371270
Taiwan,4.8,1269644873860
Taiwan,4.6,1269425598800
Taiwan,4.5,1268113881220
Taiwan,4.5,1268112709310
Taiwan,4.1,1268070869520
Taiwan,4.3,1268040384870
Taiwan,4.6,1267696021270
Taiwan,5.2,1267690576850
Taiwan region,4.3,1267690082380
Taiwan,4.8,1267662284780
Taiwan,6.3,1267661931290
Taiwan,4.9,1265942558530
Taiwan,4.9,1263881367160
Taiwan,4.7,1263377686870
Taiwan region,4,1263093871790
