,title,like,location,price,country,style,review,bookmark,discount
103,港味 V·Taste,12.0,上水智昌路3號上水中心2樓2228號舖,$51-100,粵菜 (廣東),港式,(27 食評),386,
104,翠園 Jade Garden,10.0,沙田沙田正街18號新城市廣場一期8樓801A號舖,$101-200,粵菜 (廣東),點心,(34 食評),1832,
105,新漢記飯店 Sun Hon Kee,49.0,粉嶺聯和墟聯和道5號,$51-100,酒樓,客家菜,(83 食評),2208,
106,明記,22.0,荃灣鱟地坊68號地下,$50以下,潮州菜,海鮮,(38 食評),1620,
107,暢和麵家,17.0,大埔寶湖道3號寶湖花園商場二樓222B號舖,$50以下,粵菜 (廣東),粉麵/米線,(24 食評),856,
108,三小姐海鮮小菜,80.0,大埔鄉事會街8號大埔墟街市及熟食中心2樓CFS35號舖,$101-200,粵菜 (廣東),海鮮,(158 食評),2101,
109,盈福小館 Fortune House,18.0,馬鞍山鞍祿街18號新港城中心2樓2E-91號舖,$101-200,粵菜 (廣東),中式包點,(24 食評),292,送 25里數 / 30積分
110,豐生水起,17.0,大埔翠和里5號麗和閣地下F號舖,$101-200,粵菜 (廣東),中菜館,(22 食評),863,
111,會所1號 萬濤 ClubONE River View,16.0,沙田安平街1號香港沙田萬怡酒店商場1樓,$101-200,粵菜 (廣東),點心,(31 食評),567,
112,鴻星海鮮酒家 Super Star Seafood Restaurant,12.0,荃灣大壩街4-30號荃灣廣場6樓621-630號舖,$101-200,粵菜 (廣東),點心,(33 食評),760,
113,回味館,12.0,元朗俊賢坊18號權益大樓11號地下,$50以下,粵菜 (廣東),中菜館,(16 食評),894,
114,翠園 Jade Garden,12.0,將軍澳唐賢街9號PopCorn商場2樓1-2號舖,$101-200,粵菜 (廣東),點心,(41 食評),1448,
115,會所1號 愉花園 ClubONE In Bloom,13.0,荃灣青山公路荃灣段398號愉景新城3樓3005號舖,$101-200,粵菜 (廣東),點心,(23 食評),948,
116,雲泉素食中心 Wun Chuen Vegetarian Centre,55.0,粉嶺打鼓嶺平輋路雲泉仙館,$51-100,粵菜 (廣東),素食,(77 食評),1058,
117,三哥餃子店,14.0,大埔安泰路1號大埔廣場地下6號2舖,$50以下,粵菜 (廣東),雲吞/餃子,(17 食評),401,
118,海港燒鵝海鮮酒家 Victoria Harbour Roasted Goose Seafood Restaurant,44.0,馬鞍山鞍駿街1號馬鞍山中心1樓,$101-200,粵菜 (廣東),海鮮,(94 食評),882,
119,彩福國宴 Choi Fook Luxury Banquet,16.0,大埔寶湖道3號寶湖花園商場2樓,$101-200,粵菜 (廣東),海鮮,(22 食評),338,
120,和記廚房 Wo Kee Kitchen,17.0,荃灣福來村香車街熟食中心2樓40-42號舖,$51-100,粵菜 (廣東),中菜館,(23 食評),461,
121,原味專門店,9.0,屯門井財街15號金鉻大廈1樓A舖,$51-100,粵菜 (廣東),拉麵,(23 食評),92,
122,翠園 Jade Garden,36.0,荃灣楊屋道1號荃新天地一期1樓107號舖,$101-200,粵菜 (廣東),點心,(85 食評),1676,
123,新明苑宴會廳 Sun Ming Yuen Banquet,10.0,粉嶺馬適路1號逸峯廣場1樓118號,$101-200,粵菜 (廣東),點心,(17 食評),297,
124,稻香 Tao Heung,19.0,將軍澳貿業路8號新都城中心2期2樓2039-2042號舖,$101-200,粵菜 (廣東),火鍋,(45 食評),561,
125,富臨皇宮 Fulum Palace,23.0,元朗鳳琴街22號地下,$101-200,粵菜 (廣東),點心,(53 食評),373,
126,釣魚翁 燒鵝．海鮮飯店 Diaoyuweng Roasted Goose And Seafood Restaurant,12.0,荃灣眾安街68號荃灣千色匯I期5樓5B號舖,$101-200,粵菜 (廣東),燒臘,(24 食評),767,
127,畔溪尚粵館 Riverside Restaurant,22.0,將軍澳坑口重華路8號東港城2樓235號舖,$51-100,粵菜 (廣東),海鮮,(55 食評),635,
128,港興大飯店 Kong Hing Restaurant,26.0,大圍村南道79-81號地下,$51-100,酒樓,客家菜,(45 食評),1259,
129,發記海鮮酒家 Fat Kee Seafood Restaurant,66.0,西貢清水灣布袋澳碼頭7號A舖,$201-400,粵菜 (廣東),海鮮,(118 食評),1036,
