name,location,price,country,style,likes,review,bookmark,discount_info
雅 ‧悠蔬食 Leisurely Veggie,200,尖沙咀金馬倫道48號中國保險大廈3樓B號舖,$101-200,多國菜,素食,(254 食評),10716,送 25里數 / 30積分
蜀府川鍋,223,油塘四山街2號油塘工業大廈3座地下,$101-200,川菜 (四川),火鍋,(253 食評),3379,送 25里數 / 30積分
One More Hotpot 來一鍋 One More Hotpot,275,銅鑼灣堅拿道西10號冠景樓2樓A號舖,$201-400,多國菜,火鍋,(295 食評),4019,送 25里數 / 30積分
八幡屋涮涮鍋 Yahataya Shabu Shabu,371,旺角彌敦道628號瓊華中心12樓全層,$101-200,日本菜,火鍋,(457 食評),16389,訂座優惠 (送生蠔刺身，海膽刺身，燒河豚干，Melona)
飲茶 Yum Cha,132,尖沙咀加連威老道20-22號瑞生尖沙咀酒店3樓,$101-200,粵菜 (廣東),點心,(274 食評),25367,送 25里數 / 30積分
火水爐冰室火鍋 Fo Shui Lo,236,旺角煙廠街33號朗廷軒1樓,$101-200,港式,火鍋,(283 食評),6915,訂座送花膠雞煲
La Postre,192,銅鑼灣銅鑼灣耀華街3-9號百樂中心19樓,$101-200,西班牙菜,甜品/糖水,(219 食評),9823,全單9折
尚鮮火鍋海鮮料理 Seansin Seafood Hotpot Experts,206,銅鑼灣耀華街3號百樂中心8樓,$201-400,港式,火鍋,(221 食評),7337,送 25里數 / 30積分
正宗水上人氣鍋專門店 Boat Dweller Steam Hot Pot Specialist,261,旺角砵蘭街196號地下,$201-400,粵菜 (廣東),火鍋,(313 食評),11677,送 25里數 / 30積分
蝦棧 Shrimp Kitchen,247,太子花園街233-235號偉雄大廈地下A舖,$201-400,台灣菜,海鮮,(262 食評),5104,送 25里數 / 30積分
鱈卵屋 Tararan-ya,257,銅鑼灣軒尼詩道499號永光商業大廈14樓,$201-400,日本菜,壽司/刺身,(297 食評),9708,送 25里數 / 30積分
圓山台灣料理 Grand Hill Taiwanese Restaurant,285,尖沙咀金巴利道25號長利商業大廈1及2樓,$201-400,台灣菜,山珍海味,(339 食評),6743,送 25里數 / 30積分
Home Sweet Home,233,太子基隆街13號永基樓地舖,$101-200,西式,海鮮,(278 食評),4239,送 25里數 / 30積分
BRICK LANE Gallery,186,尖沙咀棉登徑17-23號地下,$101-200,英國菜,甜品/糖水,(276 食評),15235,送 25里數 / 30積分
The BASE,242,觀塘開源道52-54號豐利中心5樓509室,$101-200,西式,All Day Breakfast,(305 食評),12800,送 25里數 / 30積分
琥酌,180,太子西洋菜北街159A地下,$201-400,日本菜,烤肉,(225 食評),13023,送 25里數 / 30積分
Co-Dining Space,208,尖沙咀廣東道82-84號流尚坊11樓,$51-100,西式,漢堡包,(227 食評),5184,送 25里數 / 30積分
Zenon Café,221,中環威靈頓街86號地舖,$51-100,西式,三文治,(284 食評),10684,訂座並惠顧任何食品可享全單7折優惠
米走雞Live Running Chicken Live,170,觀塘興業街4號The Wave 3樓,$101-200,港式,火鍋,(209 食評),8234,送 25里數 / 30積分
平昌 Premium Pyeong Chang Premium,188,佐敦彌敦道219號莊士倫敦廣場5樓,$101-200,韓國菜,烤肉,(248 食評),15188,提供網上訂座
燒魂一 Guts Soul,296,尖沙咀漆咸道南57-59號金馬倫中心2樓,$201-400,日本菜,自助餐,(500 食評),15960,訂座可享 $50 現金折扣優惠
LA Creperie,141,銅鑼灣駱克道459-461號The L. Square 8樓,$101-200,法國菜,甜品/糖水,(202 食評),21659,提供網上訂座
Rang Mahal Authentic Indian Cuisine,207,中環皇后大道中118號2樓,$101-200,印度菜,印度菜,(238 食評),5303,訂座享8折優惠
小曼谷海鮮燒烤屋 Mini Bangkok Seafood and Grill,223,九龍城太子道西398號御太子地下1-3號舖,$101-200,泰國菜,海鮮,(286 食評),9406,送 25里數 / 30積分
心夜來潮,186,旺角西洋菜南街138號福苑2樓,$51-100,潮州菜,海鮮,(254 食評),10659,送 25里數 / 30積分
Give Me 5,260,觀塘鴻圖道90號5樓,$101-200,日本菜,海鮮,(301 食評),6630,送 25里數 / 30積分
The Grill Room,171,尖沙咀堪富利士道6-6A號爵寓2樓,$201-400,西式,扒房,(224 食評),11390,網上訂座:午市主餐牌6折(不包括套餐)
Add Some Thai Restaurant,172,觀塘開源道62號駱駝漆大廈一座9樓D室,$101-200,泰國菜,包場派對,(236 食評),8643,送 25里數 / 30積分
大井町日式放題 Ooimachi Japanese Buffet,235,荃灣眾安街55號大鴻輝(荃灣)中心3樓,$201-400,日本菜,日式放題,(337 食評),16592,送 25里數 / 30積分
Ocio,210,大圍積存街74-76號地下A舖,$101-200,多國菜,甜品/糖水,(287 食評),4425,晚市套餐優惠(9折)
Bistronomique,205,西環爹核士街1號裕福大廈地下1號舖,$201-400,法國菜,西餐廳,(226 食評),9971,送 25里數 / 30積分
首爾家韓國料理 Seoul House,196,銅鑼灣邊寧頓街13-15號隆堡柏寧頓酒店1樓,$101-200,韓國菜,烤肉,(245 食評),8042,送 25里數 / 30積分
熨烤達人 Mr. Iron,204,旺角洗衣街147號地下,$101-200,韓國菜,烤肉,(271 食評),8481,送 25里數 / 30積分
養心殿台式養生鍋,163,荃灣眾安街55號大鴻輝(荃灣)中心17樓,$201-400,台灣菜,火鍋,(208 食評),12999,指定時段五折優惠 (需於晚上七點半前離座)
Dream Cafe,193,旺角砵蘭街215號朗晴坊5樓全層,$101-200,西式,薄餅,(236 食評),3261,送 25里數 / 30積分
