Name,Location,Price,Region,Style,Likes
Manecy's Studio Restaurant,銅鑼灣駱克道447-449號中威商業大廈1樓,$101-200,意大利菜,扒房,170
極上帝王水產,旺角西洋菜街1號兆萬中心9樓,$201-400,德國菜,西班牙菜,275
Gioia Charcoal Grill & Oyster Bar,西環堅尼地城吉席街55-57號美新大廈地下A-C舖,$201-400,日本菜,壽司/刺身,171
Brunch Club & Supper,銅鑼灣禮頓道13號1樓,$101-200,多國菜,海鮮,188
原の味 Naked,尖沙咀麼地道61號冠華中心地下G1號舖,$201-400,英國菜,All Day Breakfast,147
鳴橋燒肉料理,旺角砵蘭街104號,$101-200,日本菜,壽司/刺身,198
信州日本料理 Shin Shu Japanese,西環堅尼地城爹核士街1號裕福大厦地下5號舖,$201-400,日本菜,壽司/刺身,170
緣聚西日餐廳 Together,元朗西裕街5-11號金福閣地庫,$101-200,西式,咖啡店,209
正宗水上人蒸氣鍋專門店 Boat Dweller Steam Hot Pot Specialist,尖沙咀加拿分道49號地下,$201-400,日本菜,自助餐,194
喜來稀肉 Seorae,尖沙咀金巴利道79-81號金栢閣1樓連地下,$101-200,粵菜 (廣東),火鍋,116
Y Show Tasty,尖沙咀厚福街8號H8 12樓,$101-200,韓國菜,烤肉,133
616牛肉火鍋專門店,元朗西菁街9號富盛大廈地下95-100號舖,$101-200,西式,西式,144
NINETYs,灣仔皇后大道東222號地下2號舖,$201-400,港式,火鍋,114
龍麵館 Dragon Noodles Academy,中環德輔道中68號萬宜大廈萬宜廊地下G04號舖,$201-400,西式,咖啡店,115
吞POT 雞煲火鍋.住家菜 Lazy Pot,油麻地彌敦道560號譽發廣場22樓,$101-200,粵菜 (廣東),粉麵/米線,133
滿屋日本料理 Manya Japanese Restaurant,荃灣眾安街55號大鴻輝(荃灣)中心10樓,$201-400,港式,火鍋,215
Mango Tree,尖沙咀柯士甸道西1號圓方(Elements)2樓2032號舖,$201-400,日本菜,日式放題,136
雅高·33 Artco． 33,荃灣沙咀道328號寶石大廈地下21號舖,$51-100,泰國菜,無肉餐單,152
The Food Gallery,尖沙咀北京道8號香港朗廷酒店大堂,$401-800,意大利菜,酒,102
Gastrobox the Cameron,尖沙咀金馬倫道33號 The Cameron 1樓101號舖,$101-200,西式,自助餐,115
魔膳廚房 MS KITCHEN,觀塘開源道77號業發大廈一期2樓D室,$101-200,意大利菜,海鮮,268
BOM Cuisine,長沙灣青山道441號地舖,$51-100,多國菜,甜品/糖水,119
La Postre,尖沙咀厚福街8號H8地下,$101-200,葡國菜,酒,128
胡爐 Wulu,尖沙咀厚福街8號H8 16樓,$201-400,西班牙菜,甜品/糖水,158
Lava Java 咖啡西餐廳 Lava Java Cafe & Restaurant,觀塘開源道71號王子大廈5樓B室,$101-200,港式,火鍋,159
逸之燒 Ichi Grill Shabu Shabu,元朗鳳攸南街9號好順利大廈2座商場地下 57 號舖,$201-400,西式,漢堡包,118
BRICK LANE,金鐘添美道1號中信大廈4樓404號舖,$101-200,日本菜,火鍋,139
