name,location,price,country,style,likes,review,bookmark,discount_info
焱手工涮涮鍋 Yan Handcraft Hotpot,旺角彌敦道558-560號譽發廣場3樓,$201-400,台灣菜,火鍋,177,(215 食評),10124,[7:30pm前結賬離座]主菜單火鍋配料5折或套餐85折
La Postre,上環永樂街50號昌盛大廈3樓,$201-400,西班牙菜,甜品/糖水,178,(216 食評),12528,全單9折
NeNe Chicken,旺角亞皆老街8號朗豪坊11樓30號舖,$101-200,韓國菜,韓式炸雞,179,(334 食評),7151,送 25里數 / 30積分
Darci by Aldou,元朗鳳攸南街9號好順利大廈地下60號,$101-200,多國菜,海鮮,175,(206 食評),5601,訂座送即開生蠔
Wing's Kitchen,尖沙咀漆咸道南45-51號其士大廈地下C及D舖,$101-200,意大利菜,薄餅,217,(358 食評),14638,送 25里數 / 30積分
辛安東元祖奶奶雞 Spicy Andong,旺角白布街20號地下,$101-200,韓國菜,韓國菜,277,(462 食評),10772,送 25里數 / 30積分
Sabor Spanish Touch Private Kitchen,上環永樂街1-3號世瑛大廈6樓601室,$201-400,西班牙菜,私房菜,237,(259 食評),8527,送 25里數 / 30積分
Siam 28,銅鑼灣軒尼詩道525號澳門逸園中心28樓,$101-200,泰國菜,海鮮,157,(185 食評),9241,星期六、日午市全單8折優惠！
稻八日式火鍋炸物放題 Inahachi Shabu Shabu,荃灣德海街18號富利達中心1樓,$101-200,日本菜,火鍋,236,(261 食評),7822,提供網上訂座
巧得鍋 How Awesome,觀塘成業街15-17號成運工業大廈1樓12-14舖,$201-400,港式,火鍋,141,(181 食評),8820,訂座享八五折優惠(需晚上9點後入座)
Barg,銅鑼灣耀華街3號百樂中心1樓,$201-400,意大利菜,適合大夥人,184,(216 食評),7361,送 25里數 / 30積分
Spark Bar & Restaurant,中環蘭桂坊雲咸街29號LKF 29 4樓,$201-400,意大利菜,海鮮,170,(191 食評),8502,送 25里數 / 30積分
浜滝 Hamataki,九龍城福佬村道59號地下A舖,$201-400,日本菜,拉麵,187,(227 食評),5436,送 25里數 / 30積分
Amici,中環士丹利街11號Stanley 11 8樓,$401-800,意大利菜,Fine Dining,146,(163 食評),7671,送 25里數 / 30積分
飲茶 Yum Cha,中環德輔道中173號南豐大廈2樓1-2號舖,$101-200,粵菜 (廣東),點心,104,(186 食評),16684,送 25里數 / 30積分
Villa Villa,北角錦屏街後街25A號東發大廈地下31號舖,$101-200,西式,薄餅,168,(198 食評),8292,消費滿250元即送藍莓芝士餅一客
S2 鐵板燒 S2 Teppanyaki,佐敦偉晴街29-37號地下6號舖,$401-800,日本菜,鐵板燒,200,(210 食評),3858,送 25里數 / 30積分
Check-In Taipei,中環蘇豪荷李活道27號地舖,$101-200,台灣菜,台式飲品,147,(202 食評),13270,送 25里數 / 30積分
泰象館 Thai Chang House,九龍城城南道48號地下,$101-200,泰國菜,海鮮,163,(225 食評),6648,送 25里數 / 30積分
Fifty Fifty,長沙灣東沙島街青山道181號地下C舖,$51-100,意大利菜,All Day Breakfast,185,(217 食評),4173,送 25里數 / 30積分
FRITES Belgium on Tap,銅鑼灣希雲街38號曦巒地下1號舖,$201-400,比利時菜,西餐廳,161,(177 食評),10730,訂座75折優惠 (適用於 9pm - 10pm)
極尚大喜屋日本料理 Deluxe Daikiya Japanese Restaurant,銅鑼灣軒尼詩道489號銅鑼灣廣場一期9樓,$201-400,日本菜,日式放題,187,(258 食評),13025,"特選優惠時段(星期一至四:  $200, 星期五至日及公眾假期及前夕: $220)"
Neighbor,銅鑼灣邊寧頓街5號地鋪,$101-200,意大利菜,扒房,208,(268 食評),12579,訂座即可85折享用所有波士頓龍蝦菜式
協奏坊西餐廳 Sonata Western Restaurant,大角咀大角咀道86號九龍珀麗酒店2樓,$201-400,多國菜,自助餐,175,(252 食評),18944,送 25里數 / 30積分
Lifetastic,西環石塘咀山道31-37號地下B舖,$101-200,澳洲菜,All Day Breakfast,142,(210 食評),10944,慶祝尖沙咀分店隆重開幕消費單點餐牌享有七折優惠！
滿屋日本料理 Manya Japanese Restaurant,銅鑼灣駱克道463-483號銅鑼灣廣場二期8樓,$201-400,日本菜,日式放題,281,(383 食評),12010,晚市放題：85折 (7:30前離座/ 9:30後入座)
尚上下夏 - 養生雞煲火鍋 JKJ POT,尖沙咀山林道23號地下,$101-200,港式,火鍋,211,(249 食評),11490,送 25里數 / 30積分
ねずみの王冠 喫茶店 Hamsta Crown Coffee,觀塘巧明街106號冠力工業大廈15樓1501室,$51-100,日本菜,All Day Breakfast,186,(237 食評),5007,送 25里數 / 30積分
