,Rank,Song,Artist,Year
402,3,i cant get next to you,the temptations,1969
403,4,honky tonk women,the rolling stones,1969
404,5,everyday people,sly  the family stone,1969
405,6,dizzy,tommy roe,1969
406,7,hot fun in the summertime,sly  the family stone,1969
407,8,ill never fall in love again,tom jones,1969
408,9,build me up buttercup,the foundations,1969
409,10,crimson and clover,tommy james and the shondells,1969
410,11,one,three dog night,1969
411,12,crystal blue persuasion,tommy james and the shondells,1969
412,13,hair,the cowsills,1969
413,14,too busy thinking about my baby,marvin gaye,1969
414,15,love theme from romeo and juliet,henry mancini,1969
415,16,get together,the youngbloods,1969
416,17,grazing in the grass,the friends of distinction,1969
417,18,suspicious minds,elvis presley,1969
418,19,proud mary,creedence clearwater revival,1969
419,20,what does it take to win your love,jr walker  the all stars,1969
420,21,its your thing,the isley brothers,1969
421,22,sweet caroline,neil diamond,1969
422,23,jean,oliver,1969
423,24,bad moon rising,creedence clearwater revival,1969
424,25,get back,the beatles with billy preston,1969
425,26,in the year 2525,zager  evans,1969
426,27,spinning wheel,blood sweat  tears,1969
427,28,baby i love you,andy kim,1969
428,29,going in circles,the friends of distinction,1969
429,30,hurt so bad,the lettermen,1969
430,31,green river,creedence clearwater revival,1969
431,32,my cherie amour,stevie wonder,1969
432,33,easy to be hard,three dog night,1969
433,34,baby its you,smith,1969
434,35,in the ghetto,elvis presley,1969
435,36,a boy named sue,johnny cash,1969
436,37,baby baby dont cry,the miracles,1969
437,38,only the strong survive,jerry butler,1969
438,39,time of the season,the zombies,1969
439,40,wedding bell blues,the 5th dimension,1969
440,41,little woman,bobby sherman,1969
441,42,love can make you happy,mercy,1969
442,43,good morning starshine,oliver,1969
443,44,these eyes,the guess who,1969
444,45,youve made me so very happy,blood sweat  tears,1969
445,46,put a little love in your heart,jackie deshannon,1969
446,47,do your thing,the watts 103rd street rhythm band,1969
447,48,id wait a million years,the grass roots,1969
448,49,touch me,the doors,1969
449,50,more today than yesterday,spiral starecase,1969
450,51,ive gotta be me,sammy davis jr,1969
451,52,lay lady lay,bob dylan,1969
452,53,atlantis,donovan,1969
453,54,traces,classics iv,1969
454,55,its getting better,mama cass elliot,1969
455,56,this magic moment,jay and the americans,1969
456,57,runaway child running wild,the temptations,1969
457,58,hawaii fiveo,the ventures,1969
458,59,galveston,glen campbell,1969
459,60,im gonna make you mine,lou christie,1969
460,61,gitarzan,ray stevens,1969
461,62,can i change my mind,tyrone davis,1969
462,63,time is tight,booker t  the mgs,1969
463,64,this girls in love with you,dionne warwick,1969
464,65,color him father,the winstons,1969
465,66,black pearl,checkmates ltd,1969
466,67,indian giver,1910 fruitgum company,1969
467,68,mother popcorn,james brown,1969
468,69,twentyfive miles,edwin starr,1969
469,70,things id like to say,new colony six,1969
470,71,when i die,motherlode,1969
471,72,thats the way love is,marvin gaye,1969
472,73,everybodys talkin,harry nilsson,1969
473,74,the worst that could happen,johnny maestro  the brooklyn bridge,1969
474,75,the chokin kind,joe simon,1969
475,76,smile a little smile for me,the flying machine,1969
476,77,polk salad annie,tony joe white,1969
477,78,ruby dont take your love to town,kenny rogers  the first edition,1969
478,79,games people play,joe south,1969
479,80,you showed me,the turtles,1969
480,81,tracy,the cuff links,1969
481,82,oh what a night,the dells,1969
482,83,something,the beatles,1969
483,84,this girl is a woman now,gary puckett  the union gap,1969
484,85,come together,the beatles,1969
485,86,ramblin gamblin man,bob seger system,1969
486,87,im gonna make you love me,the supremes  the temptations,1969
487,88,i heard it through the grapevine,marvin gaye,1969
488,89,gimme gimme good lovin,crazy elephant,1969
489,90,hang em high,booker t  the mgs,1969
490,91,your good thing is about to end,lou rawls,1969
491,92,baby im for real,the originals,1969
492,93,oh happy day,edwin hawkins singers,1969
493,94,love me tonight,tom jones,1969
494,95,mr sun mr moon,paul revere  the raiders,1969
495,96,laughing,the guess who,1969
496,97,my whole world ended the moment you left me,david ruffin,1969
497,98,soul deep,the box tops,1969
498,99,hooked on a feeling,bj thomas,1969
499,100,sweet cream ladies,the box tops,1969
500,1,bridge over troubled water,simon  garfunkel,1970
501,2,they long to be close to you,the carpenters,1970
502,3,american woman,the guess who,1970
503,4,raindrops keep fallin on my head,bj thomas,1970
504,5,war,edwin starr,1970
505,6,aint no mountain high enough,diana ross,1970
506,7,ill be there,the jackson 5,1970
507,8,get ready,rare earth,1970
508,9,let it be,the beatles,1970
509,10,band of gold,freda payne,1970
510,11,mama told me not to come,three dog night,1970
511,12,everything is beautiful,ray stevens,1970
512,13,make it with you,bread,1970
513,14,hitchin a ride,vanity fare,1970
514,15,abc,the jackson 5,1970
515,16,the love you save,the jackson 5,1970
516,17,cracklin rosie,neil diamond,1970
517,18,candida,dawn,1970
518,19,thank you falettinme be mice elf agin,sly  the family stone,1970
519,20,spill the wine,eric burdon  war,1970
