,Rank,Song,Artist,Year
1886,87,lawyers in love,jackson browne,1983
1887,88,what about me,moving pictures,1983
1888,89,human nature,michael jackson,1983
1889,90,photograph,def leppard,1983
1890,91,pass the dutchie,musical youth,1983
1891,92,TRUE,spandau ballet,1983
1892,93,far from over,frank stallone,1983
1893,94,ive got a rock n roll heart,eric clapton,1983
1894,95,it might be you,stephen bishop,1983
1895,96,tonight i celebrate my love,peabo bryson and roberta flack,1983
1896,97,you got lucky,tom petty and the heartbreakers,1983
1897,98,dont cry,asia,1983
1898,99,breaking us in two,joe jackson,1983
1899,100,fall in love with me,earth wind  fire,1983
1900,1,when doves cry,prince,1984
1901,2,whats love got to do with it,tina turner,1984
1902,3,say say say,paul mccartney and michael jackson,1984
1903,4,footloose,kenny loggins,1984
1904,5,against all odds take a look at me now,phil collins,1984
1905,6,jump,van halen,1984
1906,7,hello,lionel richie,1984
1907,8,owner of a lonely heart,yes,1984
1908,9,ghostbusters,ray parker jr,1984
1909,10,karma chameleon,culture club,1984
1910,11,missing you,john waite,1984
1911,12,all night long all night,lionel richie,1984
1912,13,lets hear it for the boy,deniece williams,1984
1913,14,dancing in the dark,bruce springsteen,1984
1914,15,girls just want to have fun,cyndi lauper,1984
1915,16,the reflex,duran duran,1984
1916,17,time after time,cyndi lauper,1984
1917,18,jump for my love,pointer sisters,1984
1918,19,talking in your sleep,the romantics,1984
1919,20,self control,laura branigan,1984
1920,21,lets go crazy,prince and the revolution,1984
1921,22,say it isnt so,daryl hall  john oates,1984
1922,23,hold me now,thompson twins,1984
1923,24,joanna,kool  the gang,1984
1924,25,i just called to say i love you,stevie wonder,1984
1925,26,somebodys watching me,rockwell,1984
1926,27,break my stride,matthew wilder,1984
1927,28,99 luftballons,nena,1984
1928,29,i can dream about you,dan hartman,1984
1929,30,the glamorous life,sheila e,1984
1930,31,oh sherrie,steve perry,1984
1931,32,stuck on you,lionel richie,1984
1932,33,i guess thats why they call it the blues,elton john,1984
1933,34,she bop,cyndi lauper,1984
1934,35,borderline,madonna,1984
1935,36,sunglasses at night,corey hart,1984
1936,37,eyes without a face,billy idol,1984
1937,38,here comes the rain again,eurythmics,1984
1938,39,uptown girl,billy joel,1984
1939,40,sister christian,night ranger,1984
1940,41,drive,the cars,1984
1941,42,twist of fate,olivia newtonjohn,1984
1942,43,union of the snake,duran duran,1984
1943,44,the heart of rock  roll,huey lewis and the news,1984
1944,45,hard habit to break,chicago,1984
1945,46,the warrior,scandal,1984
1946,47,if ever youre in my arms again,peabo bryson,1984
1947,48,automatic,pointer sisters,1984
1948,49,let the music play,shannon,1984
1949,50,to all the girls ive loved before,julio iglesias and willie nelson,1984
1950,51,caribbean queen,billy ocean,1984
1951,52,thats all,genesis,1984
1952,53,running with the night,lionel richie,1984
1953,54,sad songs say so much,elton john,1984
1954,55,i want a new drug,huey lewis and the news,1984
1955,56,islands in the stream,kenny rogers and dolly parton,1984
1956,57,love is a battlefield,pat benatar,1984
1957,58,infatuation,rod stewart,1984
1958,59,almost paradise,mike reno and ann wilson,1984
1959,60,legs,zz top,1984
1960,61,state of shock,the jacksons,1984
1961,62,love somebody,rick springfield,1984
1962,63,miss me blind,culture club,1984
1963,64,if this is it,huey lewis and the news,1984
1964,65,you might think,the cars,1984
1965,66,lucky star,madonna,1984
1966,67,cover me,bruce springsteen,1984
1967,68,cum on feel the noize,quiet riot,1984
1968,69,breakdance,irene cara,1984
1969,70,adult education,daryl hall  john oates,1984
1970,71,they dont know,tracey ullman,1984
1971,72,an innocent man,billy joel,1984
1972,73,cruel summer,bananarama,1984
1973,74,dance hall days,wang chung,1984
1974,75,give it up,kc  the sunshine band,1984
1975,76,im so excited,the pointer sisters,1984
1976,77,i still cant get over loving you,ray parker jr,1984
1977,78,thriller,michael jackson,1984
1978,79,holiday,madonna,1984
1979,80,breakin theres no stopping us,ollie  jerry,1984
1980,81,nobody told me,john lennon,1984
1981,82,church of the poison mind,culture club,1984
1982,83,think of laura,christopher cross,1984
1983,84,time will reveal,debarge,1984
1984,85,wrapped around your finger,the police,1984
1985,86,pink houses,john cougar mellencamp,1984
1986,87,round and round,ratt,1984
1987,88,head over heels,the gogos,1984
1988,89,the longest time,billy joel,1984
1989,90,tonight,kool  the gang,1984
1990,91,got a hold on me,christine mcvie,1984
1991,92,dancing in the sheets,shalamar,1984
1992,93,undercover of the night,the rolling stones,1984
1993,94,on the dark side,john cafferty  the beaver brown band,1984
1994,95,new moon on monday,duran duran,1984
1995,96,major tom coming home,peter schilling,1984
1996,97,magic,the cars,1984
1997,98,when you close your eyes,night ranger,1984
1998,99,rock me tonite,billy squier,1984
1999,100,yah mo b there,james ingram and michael mcdonald,1984
2000,1,careless whisper,wham featuring george michael,1985
2001,2,like a virgin,madonna,1985
2002,3,wake me up before you gogo,wham,1985
2003,4,i want to know what love is,foreigner,1985
2004,5,i feel for you,chaka khan,1985
2005,6,out of touch,daryl hall  john oates,1985
2006,7,everybody wants to rule the world,tears for fears,1985
2007,8,money for nothing,dire straits,1985
2008,9,crazy for you,madonna,1985
2009,10,take on me,aha,1985
2010,11,everytime you go away,paul young,1985
2011,12,easy lover,philip bailey and phil collins,1985
2012,13,cant fight this feeling,reo speedwagon,1985
2013,14,we built this city,starship,1985
2014,15,the power of love,huey lewis and the news,1985
2015,16,dont you forget about me,simple minds,1985
2016,17,cherish,kool  the gang,1985
2017,18,st elmos fire man in motion,john parr,1985
2018,19,the heat is on,glenn frey,1985
2019,20,we are the world,usa for africa,1985
2020,21,shout,tears for fears,1985
2021,22,parttime lover,stevie wonder,1985
2022,23,saving all my love for you,whitney houston,1985
2023,24,heaven,bryan adams,1985
2024,25,everything she wants,wham,1985
2025,26,cool it now,new edition,1985
2026,27,miami vice theme,jan hammer,1985
2027,28,loverboy,billy ocean,1985
2028,29,lovergirl,teena marie,1985
2029,30,you belong to the city,glenn frey,1985
2030,31,oh sheila,ready for the world,1985
2031,32,rhythm of the night,debarge,1985
2032,33,one more night,phil collins,1985
2033,34,sea of love,the honeydrippers,1985
2034,35,a view to a kill,duran duran,1985
2035,36,the wild boys,duran duran,1985
2036,37,youre the inspiration,chicago,1985
2037,38,neutron dance,the pointer sisters,1985
2038,39,we belong,pat benatar,1985
2039,40,nightshift,commodores,1985
2040,41,things can only get better,howard jones,1985
2041,42,all i need,jack wagner,1985
2042,43,freeway of love,aretha franklin,1985
2043,44,never surrender,corey hart,1985
2044,45,sussudio,phil collins,1985
2045,46,strut,sheena easton,1985
2046,47,you give good love,whitney houston,1985
2047,48,the search is over,survivor,1985
2048,49,missing you,diana ross,1985
2049,50,separate lives,phil collins and marilyn martin,1985
2050,51,raspberry beret,prince and the revolution,1985
2051,52,suddenly,billy ocean,1985
2052,53,the boys of summer,don henley,1985
2053,54,one night in bangkok,murray head,1985
2054,55,if you love somebody set them free,sting,1985
2055,56,obsession,animotion,1985
2056,57,we dont need another hero,tina turner,1985
2057,58,material girl,madonna,1985
2058,59,better be good to me,tina turner,1985
2059,60,head over heels,tears for fears,1985
2060,61,axel f,harold faltermeyer,1985
2061,62,smooth operator,sade,1985
2062,63,in my house,mary jane girls,1985
2063,64,dont lose my number,phil collins,1985
2064,65,all through the night,cyndi lauper,1985
2065,66,run to you,bryan adams,1985
2066,67,glory days,bruce springsteen,1985
2067,68,voices carry,til tuesday,1985
2068,69,misled,kool  the gang,1985
2069,70,would i lie to you,eurythmics,1985
2070,71,be near me,abc,1985
2071,72,no more lonely nights,paul mccartney,1985
2072,73,i cant hold back,survivor,1985
2073,74,summer of 69,bryan adams,1985
2074,75,walking on sunshine,katrina and the waves,1985
2075,76,freedom,wham,1985
2076,77,too late for goodbyes,julian lennon,1985
2077,78,valotte,julian lennon,1985
2078,79,some like it hot,power station,1985
2079,80,solid,ashford  simpson,1985
2080,81,angel,madonna,1985
2081,82,im on fire,bruce springsteen,1985
2082,83,method of modern love,daryl hall  john oates,1985
2083,84,lay your hands on me,thompson twins,1985
2084,85,whos holding donna now,debarge,1985
2085,86,lonely ol night,john cougar mellencamp,1985
2086,87,what about love,heart,1985
2087,88,california girls,david lee roth,1985
2088,89,fresh,kool  the gang,1985
2089,90,do what you do,jermaine jackson,1985
2090,91,jungle love,the time,1985
2091,92,born in the usa,bruce springsteen,1985
2092,93,private dancer,tina turner,1985
2093,94,whos zoomin who,aretha franklin,1985
2094,95,fortress around your heart,sting,1985
2095,96,penny lover,lionel richie,1985
2096,97,all she wants to do is dance,don henley,1985
2097,98,dress you up,madonna,1985
2098,99,sentimental street,night ranger,1985
2099,100,sugar walls,sheena easton,1985
2100,1,thats what friends are for,dionne and friends dionne warwick gladys knight elton john and stevie wonder,1986
2101,2,say you say me,lionel richie,1986
2102,3,i miss you,klymaxx,1986
2103,4,on my own,patti labelle and michael mcdonald,1986
2104,5,broken wings,mr mister,1986
2105,6,how will i know,whitney houston,1986
2106,7,party all the time,eddie murphy,1986
2107,8,burning heart,survivor,1986
2108,9,kyrie,mr mister,1986
2109,10,addicted to love,robert palmer,1986
2110,11,greatest love of all,whitney houston,1986
2111,12,secret lovers,atlantic starr,1986
2112,13,friends and lovers,gloria loring and carl anderson,1986
2113,14,glory of love,peter cetera,1986
2114,15,west end girls,pet shop boys,1986
2115,16,therell be sad songs to make you cry,billy ocean,1986
2116,17,alive and kicking,simple minds,1986
2117,18,never,heart,1986
2118,19,kiss,prince and the revolution,1986
2119,20,higher love,steve winwood,1986
2120,21,stuck with you,huey lewis and the news,1986
2121,22,holding back the years,simply red,1986
2122,23,sledgehammer,peter gabriel,1986
2123,24,sara,starship,1986
2124,25,human,the human league,1986
2125,26,i cant wait,nu shooz,1986
2126,27,take my breath away,berlin,1986
2127,28,rock me amadeus,falco,1986
2128,29,papa dont preach,madonna,1986
2129,30,you give love a bad name,bon jovi,1986
2130,31,when the going gets tough the tough get going,billy ocean,1986
2131,32,when i think of you,janet jackson,1986
2132,33,these dreams,heart,1986
2133,34,dont forget me when im gone,glass tiger,1986
2134,35,live to tell,madonna,1986
2135,36,mad about you,belinda carlisle,1986
2136,37,something about you,level 42,1986
2137,38,venus,bananarama,1986
2138,39,dancing on the ceiling,lionel richie,1986
2139,40,conga,miami sound machine,1986
2140,41,true colors,cyndi lauper,1986
2141,42,danger zone,kenny loggins,1986
2142,43,what have you done for me lately,janet jackson,1986
2143,44,no one is to blame,howard jones,1986
2144,45,lets go all the way,sly fox,1986
2145,46,i didnt mean to turn you on,robert palmer,1986
2146,47,words get in the way,miami sound machine,1986
2147,48,manic monday,the bangles,1986
2148,49,walk of life,dire straits,1986
2149,50,amanda,boston,1986
2150,51,two of hearts,stacey q,1986
2151,52,crush on you,the jets,1986
2152,53,if you leave,orchestral manoeuvres in the dark,1986
2153,54,invisible touch,genesis,1986
2154,55,the sweetest taboo,sade,1986
2155,56,what you need,inxs,1986
2156,57,talk to me,stevie nicks,1986
2157,58,nasty,janet jackson,1986
2158,59,take me home tonight,eddie money,1986
2159,60,we dont have to take our clothes off,jermaine stewart,1986
2160,61,all cried out,lisa lisa and cult jam,1986
2161,62,your love,the outfield,1986
2162,63,im your man,wham,1986
2163,64,perfect way,scritti politti,1986
2164,65,living in america,james brown,1986
2165,66,rock in the usa,john cougar mellencamp,1986
2166,67,whos johnny,el debarge,1986
2167,68,word up,cameo,1986
2168,69,why cant this be love,van halen,1986
2169,70,silent running on dangerous ground,mike  the mechanics,1986
2170,71,typical male,tina turner,1986
2171,72,small town,john cougar mellencamp,1986
2172,73,tarzan boy,baltimora,1986
2173,74,all i need is a miracle,mike  the mechanics,1986
2174,75,sweet freedom,michael mcdonald,1986
2175,76,true blue,madonna,1986
2176,77,rumors,timex social club,1986
2177,78,life in a northern town,dream academy,1986
2178,79,bad boy,miami sound machine,1986
2179,80,sleeping bag,zz top,1986
2180,81,tonight she comes,the cars,1986
2181,82,love touch,rod stewart,1986
2182,83,a love bizarre,sheila e,1986
2183,84,throwing it all away,genesis,1986
2184,85,baby love,regina,1986
2185,86,election day,arcadia,1986
2186,87,nikita,elton john,1986
2187,88,take me home,phil collins,1986
2188,89,walk this way,rundmc,1986
2189,90,sweet love,anita baker,1986
2190,91,your wildest dreams,moody blues,1986
2191,92,spies like us,paul mccartney,1986
2192,93,object of my desire,starpoint,1986
2193,94,dreamtime,daryl hall,1986
2194,95,tender love,force mds,1986
2195,96,king for a day,thompson twins,1986
2196,97,love will conquer all,lionel richie,1986
2197,98,a different corner,george michael,1986
2198,99,ill be over you,toto,1986
2199,100,go home,stevie wonder,1986
2200,1,walk like an egyptian,the bangles,1987
2201,2,alone,heart,1987
2202,3,shake you down,gregory abbott,1987
2203,4,i wanna dance with somebody who loves me,whitney houston,1987
2204,5,nothings gonna stop us now,starship,1987
2205,6,cest la vie,robbie nevil,1987
2206,7,here i go again,whitesnake,1987
2207,8,the way it is,bruce hornsby and the range,1987
2208,9,shakedown,bob seger,1987
2209,10,livin on a prayer,bon jovi,1987
2210,11,la bamba,los lobos,1987
2211,12,everybody have fun tonight,wang chung,1987
2212,13,dont dream its over,crowded house,1987
2213,14,always,atlantic starr,1987
2214,15,with or without you,u2,1987
2215,16,looking for a new love,jody watley,1987
2216,17,head to toe,lisa lisa and cult jam,1987
2217,18,i think were alone now,tiffany,1987
2218,19,mony mony,billy idol,1987
2219,20,at this moment,billy vera and the beaters,1987
2220,21,the lady in red,chris de burgh,1987
2221,22,didnt we almost have it all,whitney houston,1987
2222,23,i still havent found what im looking for,u2,1987
2223,24,i want your sex,george michael,1987
2224,25,notorious,duran duran,1987
2225,26,only in my dreams,debbie gibson,1987
2226,27,ive had the time of my life,bill medley and jennifer warnes,1987
2227,28,the next time i fall,peter cetera and amy grant,1987
2228,29,lean on me,club nouveau,1987
2229,30,open your heart,madonna,1987
2230,31,lost in emotion,lisa lisa and cult jam,1987
2231,32,i just died in your arms,cutting crew,1987
